location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200420T0000,19.586119,126.027374
20200420T0100,17.581125,132.51044
20200420T0200,17.31746,133.3153
20200420T0300,12.768586,130.42607
20200420T0400,9.290511,125.537674
20200420T0500,8.854829,116.56505
20200420T0600,9.746631,94.23639
20200420T0700,11.525623,91.7899
20200420T0800,13.004921,94.76365
20200420T0900,16.516901,110.409874
20200420T1000,14.241629,106.14433
20200420T1100,13.797912,97.49586
20200420T1200,14.759999,89.99999
20200420T1300,16.215992,87.45519
20200420T1400,14.830076,84.4278
20200420T1500,15.328561,80.537674
20200420T1600,16.808569,80.134186
20200420T1700,19.559633,83.65981
20200420T1800,20.523155,88.99491
20200420T1900,20.929596,93.945175
20200420T2000,20.969805,101.88866
20200420T2100,19.296133,104.03624
20200420T2200,15.683776,99.24611
20200420T2300,11.570515,95.35582
20200421T0000,11.212135,95.52754
20200421T0100,10.739833,103.570435
20200421T0200,9.255571,103.49573
20200421T0300,8.905908,75.96376
20200421T0400,11.043261,70.97439
20200421T0500,12.522619,71.56504
20200421T0600,12.641076,70.016884
20200421T0700,11.384198,55.304832
20200421T0800,9.360001,67.380135
20200421T0900,16.56,89.99999
20200421T1000,18.0036,91.14575
20200421T1100,18.448023,95.599335
20200421T1200,19.201874,96.45882
20200421T1300,20.275383,96.1155
20200421T1400,20.674158,97.00127
20200421T1500,21.611998,91.90914
20200421T1600,21.96295,90.939186
20200421T1700,22.7057,92.72631
20200421T1800,22.782625,95.44032
20200421T1900,22.065973,95.61758
20200421T2000,25.812277,98.01709
20200421T2100,24.850431,88.339714
20200421T2200,23.576563,82.9835
20200421T2300,22.862125,82.76308
20200422T0000,20.570463,85.98582
20200422T0100,17.313717,86.42367
20200422T0200,16.520823,78.69006
20200422T0300,17.106628,81.52885
20200422T0400,16.215992,87.45519
20200422T0500,15.517629,86.00909
20200422T0600,16.343367,82.40536
20200422T0700,17.81909,81.869896
20200422T0800,16.93531,92.436646
20200422T0900,21.398056,102.63336
20200422T1000,24.703976,108.69898
20200422T1100,26.309572,106.69924
20200422T1200,26.717722,104.03624
20200422T1300,28.467329,103.15754
20200422T1400,29.601109,103.360214
20200422T1500,30.385365,103.70696
20200422T1600,30.124065,104.534454
20200422T1700,29.68636,104.03624
20200422T1800,29.370352,101.30993
20200422T1900,27.959742,101.88866
20200422T2000,24.36591,102.80426
20200422T2100,22.253124,99.30994
20200422T2200,21.046917,102.8477
20200422T2300,21.868332,110.22485
20200423T0000,20.188908,111.99113
20200423T0100,20.61766,114.77514
20200423T0200,20.291357,115.201126
20200423T0300,21.325253,111.80141
20200423T0400,22.73707,113.31771
20200423T0500,25.20257,111.80141
20200423T0600,25.40743,110.74608
20200423T0700,23.224882,108.99665
20200423T0800,23.4,112.61986
20200423T0900,29.337238,119.39605
20200423T1000,30.261421,122.36664
20200423T1100,30.993471,120.73548
20200423T1200,30.993471,120.73548
20200423T1300,31.435646,119.500725
20200423T1400,30.945345,119.248825
20200423T1500,29.827904,119.6591
20200423T1600,28.712116,120.1013
20200423T1700,28.694056,113.67053
20200423T1800,27.416782,113.19859
20200423T1900,26.299719,109.17901
20200423T2000,25.683926,95.630684
20200423T2100,24.933735,94.96974
20200423T2200,25.764534,105.395546
20200423T2300,23.871555,113.08513
20200424T0000,24.798225,117.68106
20200424T0100,23.358423,118.53998
20200424T0200,21.900904,115.301384
20200424T0300,20.65848,112.54305
20200424T0400,18.58451,111.59531
20200424T0500,17.114204,104.620865
20200424T0600,18.709612,101.09372
20200424T0700,17.518356,99.46232
20200424T0800,9.72,89.99999
20200424T0900,12.496719,101.63363
20200424T1000,11.183201,86.30861
20200424T1100,12.324414,83.29016
20200424T1200,13.450708,74.47588
20200424T1300,15.111424,77.61923
20200424T1400,15.986595,82.23483
20200424T1500,15.941944,83.51692
20200424T1600,16.299694,83.65981
20200424T1700,17.81909,81.869896
20200424T1800,18.175545,82.03039
20200424T1900,18.391735,86.63353
20200424T2000,26.552288,102.52881
20200424T2100,24.448214,103.62699
20200424T2200,16.62249,94.96974
