location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200420T0000,5.1165614,320.7106
20200420T0100,5.6920996,288.43497
20200420T0200,6.849467,273.0128
20200420T0300,6.4799995,270.0
20200420T0400,4.73506,261.25385
20200420T0500,3.7585104,253.30075
20200420T0600,3.219938,243.43495
20200420T0700,4.6800003,202.61987
20200420T0800,4.829907,206.56505
20200420T0900,4.829907,206.56505
20200420T1000,2.9024127,209.74489
20200420T1100,6.28713,293.6294
20200420T1200,9.511088,299.4759
20200420T1300,10.739833,283.57043
20200420T1400,11.609651,277.125
20200420T1500,12.7279215,278.1301
20200420T1600,13.009903,284.42078
20200420T1700,12.57426,293.6294
20200420T1800,11.923557,298.8866
20200420T1900,11.304229,307.23483
20200420T2000,12.4811535,326.7683
20200420T2100,13.1041975,344.0546
20200420T2200,10.495713,354.09387
20200420T2300,7.5685663,2.7262878
20200421T0000,5.3517847,19.653809
20200421T0100,3.563818,44.999985
20200421T0200,2.9024127,82.874985
20200421T0300,4.510787,118.61046
20200421T0400,6.193674,144.46231
20200421T0500,8.225035,156.8014
20200421T0600,9.227524,159.44395
20200421T0700,7.968939,161.56505
20200421T0800,4.39436,145.00798
20200421T0900,4.198285,149.03624
20200421T1000,3.7585104,163.30075
20200421T1100,3.6,180.0
20200421T1200,4.802999,192.99461
20200421T1300,5.815978,201.8014
20200421T1400,7.289445,212.90524
20200421T1500,8.654987,225.0
20200421T1600,9.220499,231.3402
20200421T1700,9.290511,234.46233
20200421T1800,9.793059,233.97263
20200421T1900,10.296251,233.53076
20200421T2000,4.802999,167.00539
20200421T2100,6.439876,153.43495
20200421T2200,9.227524,159.44395
20200421T2300,11.570515,174.64418
