location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200420T0000,20.371038,136.4321
20200420T0100,20.188908,140.06361
20200420T0200,19.373219,138.01279
20200420T0300,20.371038,136.4321
20200420T0400,19.602652,134.25594
20200420T0500,20.421871,130.71085
20200420T0600,20.12461,132.82526
20200420T0700,17.826363,133.36342
20200420T0800,18.11841,139.02826
20200420T0900,15.575981,146.30994
20200420T1000,11.983188,147.26477
20200420T1100,9.085988,146.30994
20200420T1200,5.4833565,156.8014
20200420T1300,2.1897945,260.5377
20200420T1400,3.6,323.13013
20200420T1500,8.766573,340.82098
20200420T1600,16.965895,342.7185
20200420T1700,20.833395,341.87814
20200420T1800,17.462782,345.6773
20200420T1900,17.643673,358.83087
20200420T2000,16.454008,10.080597
20200420T2100,15.463246,24.775131
20200420T2200,16.548256,45.88138
20200420T2300,15.7908325,65.772255
20200421T0000,13.441071,69.62356
20200421T0100,12.768586,68.49856
20200421T0200,12.0694,72.64597
20200421T0300,12.015589,81.38435
20200421T0400,12.24,89.99999
20200421T0500,13.009903,104.42077
20200421T0600,14.386494,121.70142
20200421T0700,16.199999,126.869896
20200421T0800,13.324863,128.41805
20200421T0900,13.783817,130.76361
20200421T1000,13.104198,127.1847
20200421T1100,11.4862,122.19573
20200421T1200,10.163227,112.9321
20200421T1300,8.4042845,99.86581
20200421T1400,6.924738,81.02737
20200421T1500,8.4963045,36.38434
20200421T1600,16.520823,11.309921
20200421T1700,23.587555,15.945404
20200421T1800,22.7057,25.34616
20200421T1900,21.924562,29.51149
20200421T2000,22.89611,36.689713
20200421T2100,20.65848,48.532303
20200421T2200,17.727943,60.832375
20200421T2300,16.808569,80.134186
20200422T0000,17.462782,104.322716
20200422T0100,21.900904,115.301384
20200422T0200,20.608229,117.012665
20200422T0300,20.288164,117.474434
20200422T0400,19.513195,119.87599
20200422T0500,19.201874,120.41107
20200422T0600,18.218275,119.60445
20200422T0700,18.218275,119.60445
20200422T0800,15.629971,118.92642
20200422T0900,18.079027,125.27242
20200422T1000,21.252197,128.81139
20200422T1100,21.437386,130.91438
20200422T1200,20.421871,130.71085
20200422T1300,19.681828,129.80557
20200422T1400,20.188908,129.93637
20200422T1500,19.95972,129.14398
20200422T1600,20.696087,130.06079
20200422T1700,20.696087,130.06079
20200422T1800,22.45315,131.0995
20200422T1900,25.264202,130.9555
20200422T2000,27.661497,128.6598
20200422T2100,31.32207,127.52844
20200422T2200,31.542658,128.04704
20200422T2300,30.61482,131.18591
20200423T0000,28.019936,132.91743
20200423T0100,26.230639,133.33167
20200423T0200,24.951921,133.83086
