location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200426T0000,26.260265,123.254364
20200426T0100,19.66536,113.7495
20200426T0200,14.145756,104.74355
20200426T0300,10.239453,100.124664
20200426T0400,7.2359104,95.71059
20200426T0500,5.771239,86.42367
20200426T0600,5.315336,61.699234
20200426T0700,9.605998,77.00538
20200426T0800,9.9571085,77.47118
20200426T0900,10.948973,80.537674
20200426T1000,11.570515,84.64417
20200426T1100,13.684735,91.50743
20200426T1200,14.799459,94.18491
20200426T1300,17.462784,98.29714
20200426T1400,18.782204,102.17145
20200426T1500,22.26477,104.03624
20200426T1600,27.504095,104.40002
20200426T1700,31.89608,106.38954
20200426T1800,35.52162,107.700424
20200426T1900,39.39986,109.75946
20200426T2000,35.757988,106.975494
20200426T2100,34.763775,105.619385
20200426T2200,26.200977,102.699585
20200426T2300,19.770523,100.49147
20200427T0000,14.799459,94.18491
20200427T0100,12.24,89.99999
20200427T0200,10.086427,87.95459
20200427T0300,8.12197,77.19573
20200427T0400,6.151683,69.443954
20200427T0500,5.154415,65.224846
20200427T0600,4.6102495,51.34018
20200427T0700,4.6102495,51.34018
20200427T0800,9.387651,147.52881
20200427T0900,7.7879906,146.30994
20200427T1000,8.161764,138.57634
20200427T1100,10.514218,128.04704
20200427T1200,14.021525,119.19748
20200427T1300,19.66536,113.7495
20200427T1400,22.127556,111.97451
20200427T1500,22.66857,110.44955
20200427T1600,20.188908,111.99113
20200427T1700,21.749481,102.42594
20200427T1800,26.525429,97.800186
20200427T1900,29.533169,99.11786
20200427T2000,30.599998,118.07248
20200427T2100,17.25373,113.35556
20200427T2200,11.928989,95.19443
20200427T2300,9.605998,102.99461
20200428T0000,8.557102,104.620865
20200428T0100,9.227524,110.556046
20200428T0200,7.754637,111.80141
20200428T0300,6.6185193,112.380135
20200428T0400,5.00128,120.25643
20200428T0500,4.1046314,127.874985
20200428T0600,2.4149535,153.43495
20200428T0700,1.2979984,236.30994
20200428T0800,2.8799999,89.99999
20200428T0900,0.71999997,180.0
20200428T1000,2.0364676,225.0
20200428T1100,3.319036,229.39871
20200428T1200,3.7064266,240.9454
20200428T1300,3.6179552,264.28943
20200428T1400,2.6208394,285.9454
20200428T1500,2.52,360.0
20200428T1600,2.9024127,29.744873
