location,El Espinal,El Espinal
lat,23.99988,23.99988
lon,-106.87500,-106.87500
asl,91.411,91.411
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Espinal Wind Speed [80 m],El Espinal Wind Direction [80 m]
20200426T0000,3.0758414,159.44395
20200426T0100,4.198285,149.03624
20200426T0200,4.3349743,138.36646
20200426T0300,4.072935,135.0
20200426T0400,3.8268526,131.18591
20200426T0500,3.6,126.869896
20200426T0600,7.7879906,146.30994
20200426T0700,7.127636,135.0
20200426T0800,6.193674,125.537674
20200426T0900,3.9763298,174.80557
20200426T1000,6.6087217,209.35776
20200426T1100,7.9932966,215.83765
20200426T1200,9.686609,221.98721
20200426T1300,9.1641035,225.0
20200426T1400,10.195057,227.86241
20200426T1500,8.942214,229.8991
20200426T1600,9.726664,231.009
20200426T1700,8.669949,228.36647
20200426T1800,9.449572,229.63547
20200426T1900,7.289445,237.09476
20200426T2000,4.8965297,233.97263
20200426T2100,1.8,180.0
20200426T2200,3.671294,101.30993
20200426T2300,4.379589,99.46232
20200427T0000,4.452954,104.03624
20200427T0100,4.2136917,109.9831
20200427T0200,3.219938,116.56505
20200427T0300,2.0991426,120.96376
20200427T0400,1.484318,104.03624
20200427T0500,1.08,89.99999
20200427T0600,2.16,89.99999
20200427T0700,6.297428,59.036255
20200427T0800,3.219938,63.43495
20200427T0900,2.5959969,236.30994
20200427T1000,7.7879906,236.30994
20200427T1100,9.085988,236.30994
20200427T1200,10.086427,235.1755
20200427T1300,9.504272,232.69606
20200427T1400,11.808878,232.43141
20200427T1500,10.799999,233.1301
20200427T1600,11.4862,237.80426
20200427T1700,10.630672,241.69925
20200427T1800,11.298495,247.52057
20200427T1900,5.692099,214.69516
20200427T2000,4.0249224,206.56505
20200427T2100,1.484318,104.03624
20200427T2200,4.3349743,85.23635
20200427T2300,5.0528407,85.91438
20200428T0000,4.32,89.99999
20200428T0100,3.9763298,95.19443
20200428T0200,3.6,89.99999
20200428T0300,2.8799999,89.99999
20200428T0400,2.8799999,89.99999
20200428T0500,3.2399998,89.99999
20200428T0600,3.6179552,84.289406
20200428T0700,6.763786,64.79888
20200428T0800,4.6800003,67.380135
20200428T0900,1.5273507,225.0
20200428T1000,6.4096174,218.15723
20200428T1100,9.178235,221.82018
20200428T1200,10.948973,226.33223
20200428T1300,10.739832,230.44034
20200428T1400,12.387348,234.46233
20200428T1500,10.685391,237.38075
20200428T1600,11.592895,244.23068
20200428T1700,10.931203,252.75854
20200428T1800,11.367109,259.04596
20200428T1900,7.145796,229.08562
20200428T2000,5.3517847,227.72632
20200428T2100,1.2979984,213.69006
20200428T2200,1.4399999,89.99999
20200428T2300,2.6208394,74.054596
20200429T0000,3.4152596,71.56504
20200429T0100,3.5455887,66.037506
20200429T0200,3.8939953,56.30993
20200429T0300,3.396233,57.994614
20200429T0400,3.396233,57.994614
20200429T0500,3.0758414,69.443954
20200429T0600,3.319036,77.47118
20200429T0700,5.506941,78.69006
20200429T0800,1.0182338,44.999985
20200429T0900,2.968636,255.96376
20200429T1000,6.9899354,258.11133
20200429T1100,8.209263,254.74487
20200429T1200,8.311245,252.34988
20200429T1300,6.6185193,247.61987
20200429T1400,9.339208,242.44719
20200429T1500,11.592895,244.23068
20200429T1600,13.202726,244.13365
20200429T1700,9.659814,243.43495
20200429T1800,9.83268,246.2505
20200429T1900,6.9527545,248.7495
20200429T2000,5.3517847,250.34618
20200429T2100,4.0249224,243.43495
20200429T2200,2.0991426,239.03624
20200429T2300,0.0,180.0
20200430T0000,1.1384199,108.434944
20200430T0100,1.2979984,146.30994
20200430T0200,1.1384199,198.43495
20200430T0300,0.8049845,243.43495
20200430T0400,0.71999997,89.99999
20200430T0500,1.835647,101.30993
20200430T0600,3.0758414,110.556046
20200430T0700,4.896529,72.89727
20200430T0800,1.08,89.99999
20200430T0900,3.8268526,221.18593
20200430T1000,8.404285,223.2643
20200430T1100,10.195057,227.86241
20200430T1200,11.480557,228.81409
20200430T1300,10.195057,227.86241
20200430T1400,11.753876,229.96974
20200430T1500,11.384198,235.30484
20200430T1600,13.089354,238.49574
20200430T1700,11.753877,242.65013
20200430T1800,12.7279215,241.26021
20200430T1900,6.489992,250.55997
20200430T2000,6.489992,250.55997
20200430T2100,5.3517847,222.27368
20200430T2200,6.2145634,190.00798
20200430T2300,7.42159,165.96376
20200501T0000,6.439876,153.43495
20200501T0100,5.6233797,140.19443
20200501T0200,4.1046314,142.12502
20200501T0300,3.319036,139.3987
20200501T0400,3.6,126.869896
20200501T0500,3.6,126.869896
20200501T0600,3.219938,116.56505
20200501T0700,6.489992,70.55996
20200501T0800,0.0,180.0
20200501T0900,4.5820518,225.0
20200501T1000,8.209263,232.12502
20200501T1100,8.78872,235.00798
20200501T1200,10.1887,237.99463
20200501T1300,9.826088,241.55707
20200501T1400,11.269782,243.43495
20200501T1500,9.659814,243.43495
20200501T1600,10.00256,239.74356
20200501T1700,8.0899935,237.72437
20200501T1800,9.693296,238.67131
20200501T1900,5.8048253,240.25513
20200501T2000,6.6087217,240.64226
20200501T2100,3.7064266,240.9454
20200501T2200,1.08,180.0
20200501T2300,3.396233,122.00538
20200502T0000,5.1165614,129.2894
20200502T0100,5.3517847,137.72632
20200502T0200,4.829907,153.43495
20200502T0300,5.506941,168.69006
20200502T0400,5.7599998,180.0
20200502T0500,5.4119864,183.81407
20200502T0600,4.73506,188.74615
20200502T0700,4.3498964,65.55604
20200502T0800,1.4399999,270.0
20200502T0900,5.4833565,246.8014
20200502T1000,7.4128532,240.9454
20200502T1100,7.7879906,236.30994
20200502T1200,9.021574,241.38954
20200502T1300,8.225035,246.8014
20200502T1400,9.028754,246.50143
20200502T1500,8.557102,247.75098
20200502T1600,11.043261,250.9744
20200502T1700,10.739833,256.42957
20200502T1800,9.605998,257.00537
20200502T1900,8.089993,249.14554
20200502T2000,8.699793,245.55606
20200502T2100,6.6087217,240.64226
20200502T2200,4.39436,235.00798
20200502T2300,2.4149535,206.56505
20200503T0000,2.16,180.0
20200503T0100,2.6208394,164.0546
20200503T0200,3.671294,168.69006
20200503T0300,4.6938252,175.60129
20200503T0400,5.0528407,175.91438
20200503T0500,4.6938252,175.60129
20200503T0600,4.3349743,175.23636
20200503T0700,3.671294,168.69006
20200503T0800,3.319036,192.52881
20200503T0900,5.0911684,225.0
20200503T1000,6.12,241.92752
20200503T1100,5.4833565,246.8014
20200503T1200,5.154415,245.22485
20200503T1300,2.4149535,243.43495
20200503T1400,2.0991426,239.03624
20200503T1500,1.08,270.0
20200503T1600,2.52,270.0
20200503T1700,2.968636,284.03625
20200503T1800,4.379589,279.46234
20200503T1900,4.452954,284.03625
20200503T2000,5.2416787,285.9454
20200503T2100,4.198285,300.96378
20200503T2200,3.319036,310.60132
20200503T2300,2.0991426,329.03625
