location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200426T0000,18.584509,45.784805
20200426T0100,14.654254,62.175903
20200426T0200,11.620809,73.8108
20200426T0300,9.0,73.73979
20200426T0400,1.609969,26.565033
20200426T0500,9.107359,288.43497
20200426T0600,15.137133,295.3462
20200426T0700,28.257132,315.51617
20200426T0800,26.867676,324.8193
20200426T0900,11.252519,352.64764
20200426T1000,21.746502,340.6652
20200426T1100,24.40046,338.35556
20200426T1200,27.009598,338.90765
20200426T1300,28.694056,336.32947
20200426T1400,30.018473,337.43298
20200426T1500,31.765793,336.6309
20200426T1600,32.90014,336.8014
20200426T1700,33.37338,336.4768
20200426T1800,32.2396,336.29736
20200426T1900,30.085318,338.9625
20200426T2000,19.586117,342.89728
20200426T2100,17.072504,335.0561
20200426T2200,10.587918,305.31122
20200426T2300,12.57426,256.7595
20200427T0000,20.633371,317.1211
20200427T0100,20.393293,339.3256
20200427T0200,19.06301,349.11447
20200427T0300,17.026896,346.5514
20200427T0400,15.596767,341.14685
20200427T0500,14.081477,327.5288
20200427T0600,13.896187,323.427
20200427T0700,12.387348,324.46234
20200427T0800,5.1165614,39.2894
20200427T0900,7.653705,41.18593
20200427T1000,7.491114,35.217575
20200427T1100,8.557102,14.620865
20200427T1200,12.959999,360.0
20200427T1300,19.0392,344.64987
20200427T1400,22.59699,337.52057
20200427T1500,24.269983,339.14557
20200427T1600,25.38702,341.82196
20200427T1700,27.25559,347.79956
20200427T1800,26.121714,352.875
20200427T1900,24.905132,355.85538
20200427T2000,18.792551,339.82935
20200427T2100,17.902534,344.84595
20200427T2200,19.523155,5.290085
20200427T2300,20.991426,30.963745
20200428T0000,20.991426,59.036232
20200428T0100,18.35647,78.69006
20200428T0200,14.113653,95.85601
20200428T0300,10.966713,113.19859
20200428T0400,7.9036193,120.06859
20200428T0500,6.6185193,112.380135
20200428T0600,7.69592,100.784294
20200428T0700,10.495713,95.90614
20200428T0800,15.39184,100.784294
20200428T0900,21.407139,109.653824
20200428T1000,21.897945,117.40757
20200428T1100,21.900904,115.301384
20200428T1200,21.659916,111.44774
20200428T1300,20.418695,99.13017
20200428T1400,18.532133,82.1847
20200428T1500,22.565422,33.94359
20200428T1600,28.694056,23.670532
20200428T1700,29.162222,28.7798
20200428T1800,28.58545,31.08751
20200428T1900,28.056913,33.48616
20200428T2000,19.930477,20.071518
20200428T2100,20.972897,39.427795
20200428T2200,22.932877,47.5448
20200428T2300,26.959166,55.885513
20200429T0000,26.89419,62.062843
20200429T0100,21.897945,62.59243
20200429T0200,18.35647,64.440025
20200429T0300,15.379206,69.443954
20200429T0400,10.8955765,82.40536
20200429T0500,8.161764,131.42366
20200429T0600,11.966953,158.83875
20200429T0700,11.966953,158.83875
20200429T0800,11.183201,146.82149
20200429T0900,11.770403,156.5713
20200429T1000,13.556282,190.71312
20200429T1100,14.386494,211.70143
20200429T1200,12.594856,239.03625
20200429T1300,12.303366,290.55603
20200429T1400,21.659918,344.57782
20200429T1500,25.562534,359.19308
20200429T1600,24.905132,4.144623
20200429T1700,25.40743,20.746078
20200429T1800,23.507753,27.349869
20200429T1900,23.740902,40.695526
20200429T2000,22.218153,26.980225
20200429T2100,22.218153,40.399902
20200429T2200,21.94524,48.990906
20200429T2300,20.808498,52.73359
20200430T0000,21.26744,56.04094
20200430T0100,24.48,61.927513
20200430T0200,23.598541,68.52319
20200430T0300,20.620806,73.77981
20200430T0400,12.879752,63.43495
20200430T0500,12.413477,29.538757
20200430T0600,15.844089,21.317917
20200430T0700,19.44,360.0
20200430T0800,18.792551,20.170639
20200430T0900,19.914217,12.528793
20200430T1000,20.570463,4.0141754
20200430T1100,26.28,360.0
20200430T1200,31.338614,1.9749298
20200430T1300,34.92742,1.1811981
20200430T1400,36.016193,1.7183685
20200430T1500,36.764088,2.8063507
20200430T1600,34.428497,6.6048126
20200430T1700,32.023815,8.403351
20200430T1800,29.17777,9.229889
20200430T1900,27.288855,8.343887
20200430T2000,26.576681,8.569138
20200430T2100,22.881956,12.724335
20200430T2200,19.93048,16.798355
20200430T2300,18.455048,20.55603
20200501T0000,17.782688,21.370605
20200501T0100,17.709658,26.565033
20200501T0200,17.873556,34.330215
20200501T0300,17.49615,36.63411
20200501T0400,16.595179,40.601288
20200501T0500,15.021105,44.028976
20200501T0600,13.746156,44.999985
20200501T0700,12.218805,44.999985
20200501T0800,15.459054,27.75853
20200501T0900,14.20062,30.465546
20200501T1000,16.09969,26.565033
20200501T1100,20.056877,21.037506
20200501T1200,23.110205,18.15271
20200501T1300,25.501621,18.946503
20200501T1400,27.219902,20.112595
20200501T1500,29.157776,20.224854
20200501T1600,29.882166,21.92958
20200501T1700,30.599998,25.057602
20200501T1800,29.69727,30.6064
20200501T1900,28.227304,37.746796
20200501T2000,23.584808,31.263718
20200501T2100,22.682856,35.96051
20200501T2200,22.159746,43.025055
20200501T2300,23.000591,50.079605
20200502T0000,22.682856,54.039474
20200502T0100,23.773632,57.994614
20200502T0200,22.288042,58.877518
20200502T0300,21.749483,61.31385
20200502T0400,19.652176,61.557068
20200502T0500,16.489416,53.88066
20200502T0600,14.904173,52.853302
20200502T0700,14.77755,55.922806
20200502T0800,9.19939,59.42076
20200502T0900,11.384198,55.304832
20200502T1000,11.090103,54.2461
20200502T1100,13.493999,46.080917
20200502T1200,15.696165,36.60707
20200502T1300,18.720001,22.619858
20200502T1400,21.398056,12.633362
20200502T1500,26.121714,7.125
20200502T1600,28.227306,5.856003
20200502T1700,30.54701,8.130096
20200502T1800,29.888672,9.008499
