location,Amalia,Amalia
lat,28.99988,28.99988
lon,-111.09375,-111.09375
asl,162.812,162.812
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Amalia Wind Speed [80 m],Amalia Wind Direction [80 m]
20200505T0000,8.049845,243.43495
20200505T0100,5.154415,245.22485
20200505T0200,2.7416782,246.8014
20200505T0300,0.0,180.0
20200505T0400,2.1897945,80.537674
20200505T0500,5.2416787,74.054596
20200505T0600,5.8603754,79.38034
20200505T0700,6.130579,86.63353
20200505T0800,3.96,89.99999
20200505T0900,2.6208394,105.9454
20200505T1000,2.0991426,149.03624
20200505T1100,3.6,216.8699
20200505T1200,6.9247384,242.10274
20200505T1300,10.739833,256.42957
20200505T1400,13.202726,258.99646
20200505T1500,14.512064,262.875
20200505T1600,15.546833,264.68546
20200505T1700,17.283749,268.80652
20200505T1800,24.842607,269.16968
20200505T1900,29.519999,270.0
20200505T2000,32.91983,275.64825
20200505T2100,29.478264,278.42697
20200505T2200,17.339897,274.76364
20200505T2300,9.826088,261.57303
20200506T0000,6.6185193,247.61987
20200506T0100,3.396233,237.99463
20200506T0200,0.71999997,180.0
20200506T0300,2.52,89.99999
20200506T0400,5.04,89.99999
20200506T0500,6.12,89.99999
20200506T0600,5.3999996,89.99999
20200506T0700,4.6938252,85.60129
20200506T0800,3.671294,78.69006
20200506T0900,2.8799999,89.99999
20200506T1000,2.0991426,120.96376
20200506T1100,3.4152596,198.43495
20200506T1200,6.618519,225.0
20200506T1300,11.298495,239.34933
20200506T1400,15.509274,248.1986
20200506T1500,19.386591,254.93152
20200506T1600,21.897945,260.5377
20200506T1700,24.648829,263.29016
20200506T1800,30.244286,261.0983
20200506T1900,30.85307,258.55896
20200506T2000,31.559088,258.81824
20200506T2100,29.09103,257.8557
20200506T2200,24.627787,254.74487
20200506T2300,18.11841,249.04422
20200507T0000,12.24,241.92752
20200507T0100,8.714677,231.70984
20200507T0200,6.1305785,220.23636
20200507T0300,5.0911684,188.1301
20200507T0400,4.5536795,161.56505
20200507T0500,5.0911684,135.0
20200507T0600,4.6938257,57.5288
20200507T0700,5.4119864,86.18592
20200507T0800,4.5536795,108.434944
20200507T0900,6.28713,156.37062
20200507T1000,11.212135,185.52754
20200507T1100,16.267857,204.8637
20200507T1200,18.289274,216.1932
20200507T1300,20.620804,225.70732
20200507T1400,21.889065,233.69551
20200507T1500,23.358423,241.46002
20200507T1600,23.871555,246.91487
20200507T1700,24.023088,250.75047
20200507T1800,26.089443,230.59933
20200507T1900,22.159746,226.97495
20200507T2000,19.881649,222.06433
20200507T2100,12.984975,223.87671
20200507T2200,6.696387,233.74615
20200507T2300,3.563818,225.0
20200508T0000,2.5455842,188.1301
20200508T0100,2.7416782,156.8014
20200508T0200,4.1046314,142.12502
20200508T0300,4.5820518,135.0
20200508T0400,4.3349743,131.63353
20200508T0500,5.495161,121.6075
20200508T0600,6.379216,106.38954
20200508T0700,5.4833565,113.19859
20200508T0800,6.618519,135.0
20200508T0900,9.983106,154.359
20200508T1000,12.9249525,167.125
20200508T1100,15.84,180.0
20200508T1200,17.377226,193.17256
20200508T1300,18.35647,205.55997
20200508T1400,17.974781,212.73523
20200508T1500,17.610588,220.85538
20200508T1600,16.039202,225.9094
20200508T1700,15.349684,230.7106
20200508T1800,20.519999,270.0
20200508T1900,16.215992,267.4552
20200508T2000,14.003029,252.03087
20200508T2100,9.085988,236.30994
20200508T2200,5.95906,205.01689
20200508T2300,4.32,180.0
20200509T0000,2.6208394,164.0546
20200509T0100,0.5091169,135.0
20200509T0200,0.71999997,360.0
20200509T0300,2.8799999,360.0
20200509T0400,4.452954,14.03624
20200509T0500,5.495161,31.607498
20200509T0600,5.771239,86.42367
20200509T0700,5.4119864,86.18592
20200509T0800,6.8399997,89.99999
20200509T0900,8.557102,104.620865
20200509T1000,8.913181,136.63657
20200509T1100,9.0645685,173.15723
20200509T1200,10.041354,194.53445
20200509T1300,11.609651,209.74489
20200509T1400,11.988594,221.34778
20200509T1500,13.551501,230.38931
20200509T1600,13.779114,236.72511
20200509T1700,14.512064,240.25513
20200509T1800,30.918108,242.24146
20200509T1900,31.205997,253.23746
20200509T2000,29.655787,259.50854
20200509T2100,26.6327,260.665
20200509T2200,17.373497,264.05313
20200509T2300,9.422101,263.41806
20200510T0000,6.379216,253.61046
20200510T0100,4.6938257,237.52881
20200510T0200,4.8433046,221.98721
20200510T0300,4.39436,214.99202
20200510T0400,3.219938,206.56505
20200510T0500,1.835647,191.30994
20200510T0600,3.4152596,108.434944
20200510T0700,3.9763298,95.19443
20200510T0800,3.671294,101.30993
20200510T0900,4.8965297,143.97263
20200510T1000,8.311245,175.03026
20200510T1100,12.849528,191.30994
20200510T1200,16.645864,201.5713
20200510T1300,19.008547,204.62357
20200510T1400,20.140705,204.27444
20200510T1500,20.12461,206.56505
20200510T1600,20.188908,211.13898
20200510T1700,20.696087,220.06079
20200510T1800,30.978828,231.13223
20200510T1900,25.189713,239.03625
20200510T2000,20.61766,245.22485
20200510T2100,12.43434,247.89056
20200510T2200,6.439876,243.43495
20200510T2300,4.8433046,221.98721
20200511T0000,4.8965297,216.02737
20200511T0100,4.8433046,228.01279
20200511T0200,4.1046314,232.12502
20200511T0300,2.3051248,231.3402
20200511T0400,1.1384199,161.56505
20200511T0500,2.9024127,119.74488
20200511T0600,6.6185193,112.380135
20200511T0700,5.04,89.99999
20200511T0800,4.3349743,131.63353
20200511T0900,6.9899354,168.11134
20200511T1000,10.799999,180.0
20200511T1100,13.627795,192.20047
20200511T1200,16.78156,202.71442
20200511T1300,20.073025,212.55
20200511T1400,22.45315,221.0995
20200511T1500,24.522314,229.76364
20200511T1600,25.77962,234.09029
20200511T1700,26.865265,237.5877
20200511T1800,26.749235,241.0203
20200511T1900,24.967499,245.28256
20200511T2000,23.4,247.38014
20200511T2100,18.720001,247.38014
20200511T2200,10.365251,249.67686
20200511T2300,5.3999996,233.1301
20200512T0000,4.5536795,198.43495
20200512T0100,4.68,180.0
20200512T0200,4.379589,170.53767
20200512T0300,3.7064266,150.94539
20200512T0400,3.8268526,131.18591
20200512T0500,4.2136917,109.9831
20200512T0600,3.96,89.99999
20200512T0700,4.32,89.99999
20200512T0800,2.16,89.99999
20200512T0900,4.1046314,164.74487
20200512T1000,9.726665,182.1211
20200512T1100,14.707222,201.54099
20200512T1200,18.472595,213.07068
20200512T1300,21.38897,223.63608
20200512T1400,23.78453,230.52754
20200512T1500,25.959969,236.30994
20200512T1600,26.749235,241.0203
20200512T1700,27.21038,244.11298
20200512T1800,26.141552,247.31944
20200512T1900,24.826952,253.1416
20200512T2000,24.798225,260.81116
20200512T2100,21.626984,267.1376
20200512T2200,14.05845,267.06433
20200512T2300,7.8625183,254.0546
