location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200505T0000,9.0,216.8699
20200505T0100,20.969807,214.50851
20200505T0200,21.734581,206.56505
20200505T0300,18.193361,207.07208
20200505T0400,17.283749,215.6764
20200505T0500,16.870138,219.80557
20200505T0600,12.738099,222.7094
20200505T0700,6.9527545,248.7495
20200505T0800,4.510787,241.38954
20200505T0900,5.1165614,230.7106
20200505T1000,5.5887027,255.06857
20200505T1100,11.090103,283.13403
20200505T1200,14.264361,312.9546
20200505T1300,14.512064,336.6148
20200505T1400,16.56,360.0
20200505T1500,20.150354,18.758636
20200505T1600,23.773632,32.005356
20200505T1700,26.178707,31.504257
20200505T1800,26.089447,27.979462
20200505T1900,23.4,30.510223
20200505T2000,23.933908,43.781113
20200505T2100,10.028439,68.96249
20200505T2200,5.1919937,123.69006
20200505T2300,7.42159,112.83366
20200506T0000,11.570515,95.35582
20200506T0100,12.313893,74.74488
20200506T0200,11.113451,24.904755
20200506T0300,16.09969,10.30484
20200506T0400,18.671474,19.133636
20200506T0500,23.006226,20.136307
20200506T0600,23.006226,20.136307
20200506T0700,20.991426,22.166351
20200506T0800,10.739833,13.570435
20200506T0900,13.527572,25.201126
20200506T1000,13.363711,27.255325
20200506T1100,10.495713,30.963745
20200506T1200,7.9036193,30.068573
20200506T1300,12.88981,35.909714
20200506T1400,17.654688,39.2072
20200506T1500,19.576189,32.22876
20200506T1600,18.723461,37.97159
20200506T1700,21.638964,45.67404
20200506T1800,23.1774,43.1118
20200506T1900,24.216522,41.987198
20200506T2000,26.87491,39.019394
20200506T2100,19.107151,42.70938
20200506T2200,15.815435,48.69139
20200506T2300,14.386494,58.29856
20200507T0000,11.770403,66.571304
20200507T0100,6.763786,64.79888
20200507T0200,0.8049845,26.565033
20200507T0300,0.35999998,270.0
20200507T0400,2.16,270.0
20200507T0500,5.692099,304.69516
20200507T0600,8.473393,12.2647705
20200507T0700,15.815435,41.30861
20200507T0800,10.464797,40.81508
20200507T0900,10.739832,50.440323
20200507T1000,11.808878,52.431404
20200507T1100,9.726664,51.009003
20200507T1200,6.618519,44.999985
20200507T1300,4.6102495,38.659805
20200507T1400,1.484318,14.03624
20200507T1500,1.484318,75.96376
20200507T1600,2.7416782,66.8014
20200507T1700,4.0249224,79.695145
20200507T1800,3.219938,153.43495
