location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200505T0000,3.96,360.0
20200505T0100,3.096837,324.46234
20200505T0200,3.319036,319.3987
20200505T0300,5.692099,325.30484
20200505T0400,6.489992,326.30994
20200505T0500,6.696387,323.74615
20200505T0600,5.8048253,330.25513
20200505T0700,5.315336,298.30078
20200505T0800,1.8,323.13013
20200505T0900,4.8433046,221.98721
20200505T1000,4.39436,235.00798
20200505T1100,0.35999998,270.0
20200505T1200,3.8939953,56.30993
20200505T1300,8.0899935,57.72435
20200505T1400,10.296251,53.53076
20200505T1500,12.979984,33.690063
20200505T1600,19.05281,22.203476
20200505T1700,27.66384,18.199173
20200505T1800,26.980793,18.676697
20200505T1900,22.768398,18.434952
20200505T2000,25.294964,24.37645
20200505T2100,23.277834,31.723602
20200505T2200,15.192682,36.326813
20200505T2300,9.422101,6.5819397
20200506T0000,8.435069,320.19443
20200506T0100,5.6233797,309.80557
20200506T0200,6.519877,353.65985
20200506T0300,9.726665,357.8789
20200506T0400,13.009903,345.57922
20200506T0500,14.973577,332.8189
20200506T0600,14.186923,324.29333
20200506T0700,14.529915,318.0128
20200506T0800,8.647496,267.61407
20200506T0900,9.779817,276.34018
20200506T1000,9.885262,326.88867
20200506T1100,12.641076,19.983109
20200506T1200,15.876775,32.96939
20200506T1300,15.484185,17.592407
20200506T1400,15.273505,351.8699
20200506T1500,18.782204,347.82855
20200506T1600,21.746504,353.34558
20200506T1700,21.24305,359.029
20200506T1800,22.392462,355.38934
20200506T1900,24.863468,2.4895477
20200506T2000,29.723444,16.898636
20200506T2100,25.099514,8.246292
20200506T2200,23.78453,357.39746
20200506T2300,22.682856,0.90937805
20200507T0000,22.033648,4.6858826
20200507T0100,20.907913,2.9609222
20200507T0200,17.298738,12.01149
20200507T0300,21.485697,31.29303
20200507T0400,21.566975,14.500168
20200507T0500,22.42427,5.527527
20200507T0600,23.14103,5.3558044
20200507T0700,24.122683,0.8550873
20200507T0800,16.700275,352.5686
20200507T0900,20.532627,2.009552
20200507T1000,21.915693,14.264496
20200507T1100,25.071096,15.832382
20200507T1200,27.466372,10.573517
20200507T1300,27.595823,7.4958496
20200507T1400,28.766228,8.637131
20200507T1500,33.202072,9.360184
20200507T1600,35.09769,10.042023
20200507T1700,36.23861,13.207916
20200507T1800,36.247547,15.554565
20200507T1900,34.83639,18.06047
20200507T2000,28.04305,29.19748
20200507T2100,24.387178,31.108795
20200507T2200,21.566973,33.424805
20200507T2300,19.67195,34.562515
20200508T0000,16.904673,26.565033
20200508T0100,15.141414,18.00415
20200508T0200,16.039202,9.0394745
20200508T0300,16.954432,3.6522217
20200508T0400,15.4800005,360.0
20200508T0500,14.081478,355.60132
20200508T0600,13.358861,345.96375
20200508T0700,12.979984,340.55997
20200508T0800,7.386582,313.0251
20200508T0900,7.289445,327.0948
20200508T1000,6.489992,356.8202
20200508T1100,6.489992,19.440033
20200508T1200,8.287822,34.380325
20200508T1300,10.1887,32.005356
20200508T1400,11.770403,23.42868
20200508T1500,15.716793,20.095215
20200508T1600,19.469975,19.440033
20200508T1700,23.933907,21.161255
20200508T1800,24.023088,29.638382
20200508T1900,24.363249,34.159683
20200508T2000,19.602652,45.74405
20200508T2100,18.11841,49.028244
20200508T2200,16.489416,53.88066
20200508T2300,15.30741,48.81407
20200509T0000,14.529915,41.987213
20200509T0100,11.4862,32.195724
20200509T0200,10.028439,21.037506
20200509T0300,9.0645685,6.8427734
20200509T0400,9.3669195,2.202591
20200509T0500,9.779817,6.340164
20200509T0600,7.968939,18.434952
20200509T0700,9.0,16.260193
20200509T0800,7.9526596,264.80557
20200509T0900,9.47012,261.25385
20200509T1000,9.793058,252.89728
20200509T1100,11.165805,249.22775
20200509T1200,9.0645685,263.15723
20200509T1300,7.072878,284.74356
20200509T1400,19.164717,28.00917
20200509T1500,26.208395,20.924484
20200509T1600,28.594517,10.885529
20200509T1700,28.348713,17.74466
20200509T1800,26.420174,19.916397
20200509T1900,29.827904,23.470993
20200509T2000,28.291512,14.743561
20200509T2100,28.82249,9.344666
20200509T2200,30.993471,2.6629944
20200509T2300,25.567604,9.72757
