location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200505T0000,5.937272,165.96376
20200505T0100,5.315336,151.69923
20200505T0200,4.39436,124.99202
20200505T0300,4.452954,104.03624
20200505T0400,4.68,89.99999
20200505T0500,4.3349743,85.23635
20200505T0600,5.8603754,79.38034
20200505T0700,5.815978,68.19859
20200505T0800,4.198285,59.036232
20200505T0900,0.35999998,180.0
20200505T1000,5.00128,239.74356
20200505T1100,7.0911775,246.0375
20200505T1200,10.636766,246.0375
20200505T1300,12.10157,247.24902
20200505T1400,13.049689,245.55606
20200505T1500,12.10157,247.24902
20200505T1600,14.118243,250.641
20200505T1700,14.003029,252.03087
20200505T1800,15.315873,246.44774
20200505T1900,3.219938,243.43495
20200505T2000,5.8603754,280.61966
20200505T2100,3.7585104,286.69925
20200505T2200,1.8,270.0
20200505T2300,1.2979984,236.30994
20200506T0000,1.8,180.0
20200506T0100,2.52,180.0
20200506T0200,2.2768397,161.56505
20200506T0300,3.396233,147.99461
20200506T0400,4.1046314,105.25512
20200506T0500,6.924738,81.02737
20200506T0600,6.6087217,60.64225
20200506T0700,9.028754,66.501434
20200506T0800,2.3051248,51.34018
20200506T0900,1.835647,258.69006
20200506T1000,5.0142193,248.9625
20200506T1100,7.342588,258.69006
20200506T1200,11.440978,257.27563
20200506T1300,13.450708,254.47589
20200506T1400,15.542662,256.6075
20200506T1500,14.458382,251.11392
20200506T1600,14.118243,250.641
20200506T1700,11.440978,257.27563
20200506T1800,10.829959,254.57785
20200506T1900,7.7879906,236.30994
20200506T2000,9.0,233.1301
20200506T2100,6.618519,225.0
20200506T2200,4.6800003,202.61987
20200506T2300,2.5455842,188.1301
20200507T0000,1.609969,116.56505
20200507T0100,3.6179552,84.289406
20200507T0200,3.8773184,68.19859
20200507T0300,3.8939953,56.30993
20200507T0400,4.072935,44.999985
20200507T0500,4.8965297,36.027374
20200507T0600,5.991594,32.735214
20200507T0700,9.693296,58.671295
20200507T0800,4.39436,55.007973
20200507T0900,0.35999998,360.0
20200507T1000,3.7064266,240.9454
20200507T1100,6.297428,239.03625
20200507T1200,12.245293,245.69547
20200507T1300,15.315873,246.44774
20200507T1400,19.855558,247.61987
20200507T1500,20.056877,248.9625
20200507T1600,16.279802,251.96573
20200507T1700,10.829959,254.57785
20200507T1800,9.114471,260.90973
20200507T1900,3.4152596,251.56506
20200507T2000,6.3690495,222.7094
20200507T2100,6.8777895,227.1211
20200507T2200,5.692099,235.30484
20200507T2300,3.5455887,246.0375
20200508T0000,2.16,270.0
20200508T0100,0.5091169,315.0
20200508T0200,1.2979984,56.30993
20200508T0300,2.5959969,56.30993
20200508T0400,3.096837,54.46232
20200508T0500,3.8268526,48.81407
20200508T0600,4.3349743,41.63353
20200508T0700,7.5685663,64.65382
20200508T0800,4.072935,44.999985
20200508T0900,1.0182338,44.999985
20200508T1000,3.7585104,253.30075
20200508T1100,6.9527545,248.7495
20200508T1200,11.043261,250.9744
20200508T1300,12.0694,252.64598
20200508T1400,14.917212,250.25317
20200508T1500,15.716793,249.90477
20200508T1600,17.114204,247.75098
20200508T1700,12.7279215,241.26021
20200508T1800,10.383987,236.30994
20200508T1900,5.495161,238.3925
20200508T2000,6.489992,236.30994
20200508T2100,3.8268526,228.81409
20200508T2200,1.9386592,201.8014
20200508T2300,1.9386592,111.80141
20200509T0000,5.04,89.99999
20200509T0100,6.12,89.99999
20200509T0200,6.12,89.99999
20200509T0300,5.7599998,89.99999
20200509T0400,5.8048253,82.874985
20200509T0500,5.937272,75.96376
20200509T0600,6.151683,69.443954
20200509T0700,10.931203,72.75854
20200509T0800,7.289444,69.77513
20200509T0900,2.1897945,80.537674
20200509T1000,1.8,216.8699
20200509T1100,5.00128,239.74356
20200509T1200,10.028439,248.9625
20200509T1300,12.864649,252.07208
20200509T1400,16.394829,250.76932
20200509T1500,17.193533,250.42688
20200509T1600,18.792551,249.82935
20200509T1700,16.45007,246.8014
20200509T1800,14.168641,242.78389
20200509T1900,5.904439,232.43141
20200509T2000,6.8777895,227.1211
20200509T2100,4.198285,210.96376
20200509T2200,2.52,180.0
